student_id,subject,marks,exam_type,date
101,Math,78,midsem,2025-01-15
102,Physics,85,midsem,2025-01-15
103,Chemistry,69,midsem,2025-01-16
104,Biology,74,midsem,2025-01-16
105,English,88,midsem,2025-01-17
106,Math,91,midsem,2025-01-17
107,Physics,73,midsem,2025-01-18
108,Chemistry,67,midsem,2025-01-18
109,Biology,80,midsem,2025-01-19
110,English,77,midsem,2025-01-19
111,Math,84,endsem,2025-03-10
112,Physics,79,endsem,2025-03-10
113,Chemistry,72,endsem,2025-03-11
114,Biology,88,endsem,2025-03-11
115,English,90,endsem,2025-03-12
116,Math,76,endsem,2025-03-12
117,Physics,82,endsem,2025-03-13
118,Chemistry,68,endsem,2025-03-13
119,Biology,85,endsem,2025-03-14
120,English,81,endsem,2025-03-14
121,Math,79,midsem,2025-01-20
122,Physics,87,midsem,2025-01-20
123,Chemistry,65,midsem,2025-01-21
124,Biology,70,midsem,2025-01-21
125,English,92,midsem,2025-01-22
126,Math,83,midsem,2025-01-22
127,Physics,75,midsem,2025-01-23
128,Chemistry,71,midsem,2025-01-23
129,Biology,78,midsem,2025-01-24
130,English,85,midsem,2025-01-24
131,Math,88,endsem,2025-03-15
132,Physics,90,endsem,2025-03-15
133,Chemistry,74,endsem,2025-03-16
134,Biology,82,endsem,2025-03-16
135,English,89,endsem,2025-03-17
136,Math,77,endsem,2025-03-17
137,Physics,84,endsem,2025-03-18
138,Chemistry,69,endsem,2025-03-18
139,Biology,86,endsem,2025-03-19
140,English,83,endsem,2025-03-19
141,Math,81,midsem,2025-01-25
142,Physics,76,midsem,2025-01-25
143,Chemistry,73,midsem,2025-01-26
144,Biology,79,midsem,2025-01-26
145,English,87,midsem,2025-01-27
